zip,metro,0br,1br,2br,3br,4br
75001,"Dallas, TX HUD Metro FMR Area",1480,1580,1870,2380,3130
75002,"Dallas, TX HUD Metro FMR Area",1410,1500,1780,2270,2980
75006,"Dallas, TX HUD Metro FMR Area",1110,1190,1410,1800,2360
75007,"Dallas, TX HUD Metro FMR Area",1140,1220,1440,1840,2410
75009,"Dallas, TX HUD Metro FMR Area",1450,1540,1830,2330,3060
75010,"Dallas, TX HUD Metro FMR Area",1240,1330,1570,2000,2630
75011,"Dallas, TX HUD Metro FMR Area",1060,1130,1340,1710,2240
75013,"Dallas, TX HUD Metro FMR Area",1370,1460,1730,2210,2900
75014,"Dallas, TX HUD Metro FMR Area",1020,1090,1290,1640,2160
75015,"Dallas, TX HUD Metro FMR Area",1020,1090,1290,1640,2160
75016,"Dallas, TX HUD Metro FMR Area",1020,1090,1290,1640,2160
75017,"Dallas, TX HUD Metro FMR Area",1020,1090,1290,1640,2160
75019,"Dallas, TX HUD Metro FMR Area",1320,1410,1670,2130,2800
75022,"Dallas, TX HUD Metro FMR Area",1610,1720,2040,2600,3410
75023,"Dallas, TX HUD Metro FMR Area",1260,1350,1600,2040,2680
75024,"Dallas, TX HUD Metro FMR Area",1570,1680,1990,2540,3330
75025,"Dallas, TX HUD Metro FMR Area",1370,1460,1730,2210,2900
75026,"Dallas, TX HUD Metro FMR Area",1260,1350,1600,2040,2680
75027,"Dallas, TX HUD Metro FMR Area",1130,1210,1430,1820,2390
75028,"Dallas, TX HUD Metro FMR Area",1610,1720,2040,2600,3420
75029,"Dallas, TX HUD Metro FMR Area",1130,1210,1430,1820,2390
75030,"Dallas, TX HUD Metro FMR Area",1020,1090,1290,1640,2160
75032,"Dallas, TX HUD Metro FMR Area",1290,1380,1630,2080,2730
75033,"Dallas, TX HUD Metro FMR Area",1160,1240,1470,1880,2460
75034,"Dallas, TX HUD Metro FMR Area",1400,1490,1770,2260,2960
75035,"Dallas, TX HUD Metro FMR Area",1610,1720,2040,2600,3420
75036,"Dallas, TX HUD Metro FMR Area",1130,1210,1430,1820,2390
75038,"Dallas, TX HUD Metro FMR Area",1130,1210,1430,1820,2390
75039,"Dallas, TX HUD Metro FMR Area",1610,1720,2040,2600,3420
75040,"Dallas, TX HUD Metro FMR Area",990,1060,1250,1590,2090
75041,"Dallas, TX HUD Metro FMR Area",960,1020,1210,1540,2030
75042,"Dallas, TX HUD Metro FMR Area",880,940,1110,1410,1860
75043,"Dallas, TX HUD Metro FMR Area",1060,1130,1340,1710,2240
75044,"Dallas, TX HUD Metro FMR Area",1180,1270,1500,1910,2510
75045,"Dallas, TX HUD Metro FMR Area",1020,1090,1290,1640,2160
75046,"Dallas, TX HUD Metro FMR Area",1020,1090,1290,1640,2160
75047,"Dallas, TX HUD Metro FMR Area",1020,1090,1290,1640,2160
75048,"Dallas, TX HUD Metro FMR Area",1330,1420,1680,2140,2810
