zip,metro,0br,1br,2br,3br,4br
75001,"Dallas, TX HUD Metro FMR Area",1070,1260,1530,2040,2650
75002,"Dallas, TX HUD Metro FMR Area",1050,1240,1510,2010,2610
75006,"Dallas, TX HUD Metro FMR Area",860,1010,1230,1640,2130
75007,"Dallas, TX HUD Metro FMR Area",920,1090,1320,1760,2290
75009,"Dallas, TX HUD Metro FMR Area",810,950,1160,1550,2010
75010,"Dallas, TX HUD Metro FMR Area",1000,1180,1430,1900,2480
75011,"Dallas, TX HUD Metro FMR Area",830,980,1190,1580,2060
75013,"Dallas, TX HUD Metro FMR Area",1190,1410,1710,2280,2960
75014,"Dallas, TX HUD Metro FMR Area",800,950,1150,1530,1990
75015,"Dallas, TX HUD Metro FMR Area",800,950,1150,1530,1990
75016,"Dallas, TX HUD Metro FMR Area",800,950,1150,1530,1990
75017,"Dallas, TX HUD Metro FMR Area",800,950,1150,1530,1990
75019,"Dallas, TX HUD Metro FMR Area",1040,1230,1500,2000,2600
75022,"Dallas, TX HUD Metro FMR Area",1250,1480,1800,2400,3120
75023,"Dallas, TX HUD Metro FMR Area",1020,1200,1460,1940,2530
75024,"Dallas, TX HUD Metro FMR Area",1250,1480,1800,2400,3120
75025,"Dallas, TX HUD Metro FMR Area",1080,1280,1550,2060,2680
75026,"Dallas, TX HUD Metro FMR Area",970,1150,1400,1860,2420
75027,"Dallas, TX HUD Metro FMR Area",870,1030,1250,1660,2160
75028,"Dallas, TX HUD Metro FMR Area",1250,1480,1800,2400,3120
75029,"Dallas, TX HUD Metro FMR Area",870,1030,1250,1660,2160
75030,"Dallas, TX HUD Metro FMR Area",800,950,1150,1530,1990
75032,"Dallas, TX HUD Metro FMR Area",1130,1340,1630,2170,2820
75033,"Dallas, TX HUD Metro FMR Area",890,1050,1280,1710,2220
75034,"Dallas, TX HUD Metro FMR Area",1100,1300,1580,2100,2740
75035,"Dallas, TX HUD Metro FMR Area",1250,1480,1800,2400,3120
75038,"Dallas, TX HUD Metro FMR Area",900,1060,1290,1720,2230
75039,"Dallas, TX HUD Metro FMR Area",1250,1480,1800,2400,3120
75040,"Dallas, TX HUD Metro FMR Area",810,960,1170,1560,2030
75041,"Dallas, TX HUD Metro FMR Area",770,910,1100,1470,1900
75042,"Dallas, TX HUD Metro FMR Area",720,850,1030,1370,1780
75043,"Dallas, TX HUD Metro FMR Area",880,1050,1270,1690,2200
75044,"Dallas, TX HUD Metro FMR Area",950,1120,1360,1810,2350
75045,"Dallas, TX HUD Metro FMR Area",800,950,1150,1530,1990
75046,"Dallas, TX HUD Metro FMR Area",800,950,1150,1530,1990
75047,"Dallas, TX HUD Metro FMR Area",800,950,1150,1530,1990
75048,"Dallas, TX HUD Metro FMR Area",1200,1420,1720,2290,2980
75049,"Dallas, TX HUD Metro FMR Area",800,950,1150,1530,1990
75050,"Dallas, TX HUD Metro FMR Area",810,950,1170,1560,2020
75051,"Dallas, TX HUD Metro FMR Area",730,860,1040,1390,1810
75052,"Dallas, TX HUD Metro FMR Area",900,1050,1290,1730,2230
75053,"Dallas, TX HUD Metro FMR Area",790,920,1120,1510,1950
75054,"Dallas, TX HUD Metro FMR Area",1130,1280,1600,2190,2770
75056,"Dallas, TX HUD Metro FMR Area",1000,1180,1430,1900,2480
75057,"Dallas, TX HUD Metro FMR Area",930,1090,1330,1770,2300
75058,"Dallas, TX HUD Metro FMR Area",720,840,1060,1440,1640
75060,"Dallas, TX HUD Metro FMR Area",750,890,1080,1440,1870
75061,"Dallas, TX HUD Metro FMR Area",780,920,1120,1490,1940
75062,"Dallas, TX HUD Metro FMR Area",790,940,1140,1520,1970
75063,"Dallas, TX HUD Metro FMR Area",1070,1270,1540,2050,2670
75065,"Dallas, TX HUD Metro FMR Area",870,1030,1250,1660,2160
75067,"Dallas, TX HUD Metro FMR Area",930,1100,1340,1780,2320
75068,"Dallas, TX HUD Metro FMR Area",1250,1470,1790,2380,3100
75069,"Dallas, TX HUD Metro FMR Area",880,1040,1260,1680,2180
75070,"Dallas, TX HUD Metro FMR Area",1190,1410,1710,2280,2960
75071,"Dallas, TX HUD Metro FMR Area",1060,1250,1520,2020,2630
75074,"Dallas, TX HUD Metro FMR Area",930,1090,1330,1770,2300
75075,"Dallas, TX HUD Metro FMR Area",900,1060,1290,1720,2230
75077,"Dallas, TX HUD Metro FMR Area",1020,1200,1460,1940,2530
75078,"Dallas, TX HUD Metro FMR Area",1130,1330,1620,2160,2810
75080,"Dallas, TX HUD Metro FMR Area",900,1060,1290,1720,2230
75081,"Dallas, TX HUD Metro FMR Area",1070,1260,1530,2040,2650
75082,"Dallas, TX HUD Metro FMR Area",1100,1300,1580,2100,2740
75083,"Dallas, TX HUD Metro FMR Area",800,950,1150,1530,1990
75085,"Dallas, TX HUD Metro FMR Area",800,950,1150,1530,1990
75086,"Dallas, TX HUD Metro FMR Area",970,1150,1400,1860,2420
75087,"Dallas, TX HUD Metro FMR Area",1080,1280,1550,2060,2680
75088,"Dallas, TX HUD Metro FMR Area",1180,1400,1700,2260,2940
75089,"Dallas, TX HUD Metro FMR Area",1250,1470,1790,2380,3100
75093,"Dallas, TX HUD Metro FMR Area",1130,1340,1630,2170,2820
75094,"Dallas, TX HUD Metro FMR Area",1250,1480,1800,2400,3120
75098,"Dallas, TX HUD Metro FMR Area",1030,1220,1480,1970,2560
75101,"Dallas, TX HUD Metro FMR Area",680,800,970,1290,1680
75104,"Dallas, TX HUD Metro FMR Area",1040,1230,1490,1980,2580
75106,"Dallas, TX HUD Metro FMR Area",800,950,1150,1530,1990
75114,"Dallas, TX HUD Metro FMR Area",970,1140,1390,1850,2410
75115,"Dallas, TX HUD Metro FMR Area",870,1030,1250,1660,2160
75116,"Dallas, TX HUD Metro FMR Area",770,910,1110,1480,1920
75119,"Dallas, TX HUD Metro FMR Area",750,890,1080,1440,1870
75123,"Dallas, TX HUD Metro FMR Area",800,950,1150,1530,1990
75125,"Dallas, TX HUD Metro FMR Area",790,940,1140,1520,1970
75126,"Dallas, TX HUD Metro FMR Area",1160,1370,1670,2220,2890
75132,"Dallas, TX HUD Metro FMR Area",1090,1290,1570,2090,2720
75134,"Dallas, TX HUD Metro FMR Area",810,960,1170,1560,2030
75135,"Dallas, TX HUD Metro FMR Area",680,810,980,1310,1700
75137,"Dallas, TX HUD Metro FMR Area",950,1130,1370,1820,2370
75138,"Dallas, TX HUD Metro FMR Area",800,950,1150,1530,1990
75141,"Dallas, TX HUD Metro FMR Area",750,890,1080,1440,1870
75142,"Dallas, TX HUD Metro FMR Area",730,860,1050,1400,1820
75143,"Dallas, TX HUD Metro FMR Area",690,810,990,1320,1710
75146,"Dallas, TX HUD Metro FMR Area",770,910,1110,1480,1920
75147,"Dallas, TX HUD Metro FMR Area",610,720,880,1170,1520
75149,"Dallas, TX HUD Metro FMR Area",810,960,1170,1560,2030
75150,"Dallas, TX HUD Metro FMR Area",860,1010,1230,1640,2130
