zip,metro,0br,1br,2br,3br,4br
75097,"Dallas, TX HUD Metro FMR Area",1200,1330,1580,2040,2700
75098,"Dallas, TX HUD Metro FMR Area",1300,1430,1710,2210,2920
75099,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75101,"Dallas, TX HUD Metro FMR Area",860,950,1130,1460,1930
75104,"Dallas, TX HUD Metro FMR Area",1250,1380,1640,2120,2800
75106,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75114,"Dallas, TX HUD Metro FMR Area",1120,1230,1470,1900,2510
75115,"Dallas, TX HUD Metro FMR Area",1070,1170,1400,1810,2390
75116,"Dallas, TX HUD Metro FMR Area",930,1020,1220,1580,2080
75118,"Dallas, TX HUD Metro FMR Area",930,1020,1220,1580,2080
75119,"Dallas, TX HUD Metro FMR Area",860,950,1130,1460,1930
75123,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75125,"Dallas, TX HUD Metro FMR Area",960,1060,1260,1630,2150
75126,"Dallas, TX HUD Metro FMR Area",1320,1450,1730,2230,2960
75132,"Dallas, TX HUD Metro FMR Area",1240,1360,1630,2100,2780
75134,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75135,"Dallas, TX HUD Metro FMR Area",890,980,1170,1510,2000
75137,"Dallas, TX HUD Metro FMR Area",1160,1270,1520,1960,2600
75138,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75141,"Dallas, TX HUD Metro FMR Area",890,980,1170,1510,2000
75142,"Dallas, TX HUD Metro FMR Area",850,940,1120,1450,1910
75143,"Dallas, TX HUD Metro FMR Area",800,880,1050,1360,1790
75146,"Dallas, TX HUD Metro FMR Area",970,1070,1270,1640,2170
75147,"Dallas, TX HUD Metro FMR Area",740,810,970,1250,1660
75149,"Dallas, TX HUD Metro FMR Area",970,1070,1270,1640,2170
75150,"Dallas, TX HUD Metro FMR Area",1040,1140,1360,1760,2320
75152,"Dallas, TX HUD Metro FMR Area",960,1060,1260,1630,2150
75154,"Dallas, TX HUD Metro FMR Area",1070,1180,1410,1820,2410
75156,"Dallas, TX HUD Metro FMR Area",930,1020,1220,1580,2080
75157,"Dallas, TX HUD Metro FMR Area",760,840,1000,1290,1710
75158,"Dallas, TX HUD Metro FMR Area",1090,1200,1430,1850,2440
75159,"Dallas, TX HUD Metro FMR Area",950,1050,1250,1610,2140
75160,"Dallas, TX HUD Metro FMR Area",890,980,1170,1510,2000
75161,"Dallas, TX HUD Metro FMR Area",980,1080,1290,1670,2200
75164,"Dallas, TX HUD Metro FMR Area",1030,1130,1350,1740,2310
75165,"Dallas, TX HUD Metro FMR Area",940,1040,1240,1600,2120
75166,"Dallas, TX HUD Metro FMR Area",1550,1700,2030,2620,3470
75167,"Dallas, TX HUD Metro FMR Area",1350,1490,1780,2300,3040
75168,"Dallas, TX HUD Metro FMR Area",960,1060,1260,1630,2150
75169,"Dallas, TX HUD Metro FMR Area",760,840,1000,1290,1710
75172,"Dallas, TX HUD Metro FMR Area",800,880,1050,1360,1790
75173,"Dallas, TX HUD Metro FMR Area",1050,1160,1380,1780,2360
75180,"Dallas, TX HUD Metro FMR Area",930,1020,1220,1580,2080
75181,"Dallas, TX HUD Metro FMR Area",1550,1700,2030,2620,3470
75182,"Dallas, TX HUD Metro FMR Area",1550,1700,2030,2620,3470
75185,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75187,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75189,"Dallas, TX HUD Metro FMR Area",1220,1340,1600,2070,2730
75201,"Dallas, TX HUD Metro FMR Area",1550,1700,2030,2620,3470
75202,"Dallas, TX HUD Metro FMR Area",1450,1600,1910,2470,3260
75203,"Dallas, TX HUD Metro FMR Area",780,860,1020,1320,1740
75204,"Dallas, TX HUD Metro FMR Area",1550,1700,2030,2620,3470
75205,"Dallas, TX HUD Metro FMR Area",1410,1550,1850,2390,3160
75206,"Dallas, TX HUD Metro FMR Area",1310,1440,1720,2220,2940
75207,"Dallas, TX HUD Metro FMR Area",1510,1660,1980,2560,3380
75208,"Dallas, TX HUD Metro FMR Area",980,1080,1290,1670,2200
75209,"Dallas, TX HUD Metro FMR Area",1260,1390,1660,2140,2840
75210,"Dallas, TX HUD Metro FMR Area",690,750,900,1160,1540
75211,"Dallas, TX HUD Metro FMR Area",840,930,1110,1430,1900
75212,"Dallas, TX HUD Metro FMR Area",780,860,1030,1330,1760
75214,"Dallas, TX HUD Metro FMR Area",1100,1210,1440,1860,2460
75215,"Dallas, TX HUD Metro FMR Area",770,850,1010,1300,1730
75216,"Dallas, TX HUD Metro FMR Area",750,830,990,1280,1690
75217,"Dallas, TX HUD Metro FMR Area",790,870,1040,1340,1780
75218,"Dallas, TX HUD Metro FMR Area",1020,1120,1340,1730,2290
75219,"Dallas, TX HUD Metro FMR Area",1480,1630,1940,2510,3310
75220,"Dallas, TX HUD Metro FMR Area",930,1020,1220,1580,2080
75221,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75222,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75223,"Dallas, TX HUD Metro FMR Area",860,950,1130,1460,1930
75224,"Dallas, TX HUD Metro FMR Area",800,880,1050,1360,1790
75225,"Dallas, TX HUD Metro FMR Area",1550,1700,2030,2620,3470
75226,"Dallas, TX HUD Metro FMR Area",1100,1210,1440,1860,2460
75227,"Dallas, TX HUD Metro FMR Area",860,950,1130,1460,1930
75228,"Dallas, TX HUD Metro FMR Area",850,940,1120,1450,1910
75229,"Dallas, TX HUD Metro FMR Area",920,1010,1210,1560,2070
75230,"Dallas, TX HUD Metro FMR Area",960,1060,1260,1630,2150
75231,"Dallas, TX HUD Metro FMR Area",950,1050,1250,1610,2140
75232,"Dallas, TX HUD Metro FMR Area",910,1000,1190,1540,2030
75233,"Dallas, TX HUD Metro FMR Area",880,970,1160,1500,1980
75234,"Dallas, TX HUD Metro FMR Area",1110,1220,1460,1890,2490
75235,"Dallas, TX HUD Metro FMR Area",1160,1280,1530,1980,2610
75236,"Dallas, TX HUD Metro FMR Area",890,980,1170,1510,2000
75237,"Dallas, TX HUD Metro FMR Area",860,950,1130,1460,1930
75238,"Dallas, TX HUD Metro FMR Area",970,1070,1270,1640,2170
75240,"Dallas, TX HUD Metro FMR Area",980,1080,1290,1670,2200
75241,"Dallas, TX HUD Metro FMR Area",890,980,1170,1510,2000
75242,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75243,"Dallas, TX HUD Metro FMR Area",970,1070,1270,1640,2170
75244,"Dallas, TX HUD Metro FMR Area",1290,1430,1700,2200,2900
75246,"Dallas, TX HUD Metro FMR Area",740,810,970,1250,1660
75247,"Dallas, TX HUD Metro FMR Area",810,900,1070,1380,1830
75248,"Dallas, TX HUD Metro FMR Area",1240,1370,1630,2100,2780
75249,"Dallas, TX HUD Metro FMR Area",1330,1470,1750,2260,2990
75250,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75251,"Dallas, TX HUD Metro FMR Area",1210,1330,1590,2050,2720
75252,"Dallas, TX HUD Metro FMR Area",1180,1300,1550,2000,2650
75253,"Dallas, TX HUD Metro FMR Area",930,1020,1220,1580,2080
75254,"Dallas, TX HUD Metro FMR Area",1150,1270,1510,1950,2580
75261,"Dallas, TX HUD Metro FMR Area",910,1030,1250,1670,2090
75270,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75287,"Dallas, TX HUD Metro FMR Area",1160,1280,1530,1980,2610
75313,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
75315,"Dallas, TX HUD Metro FMR Area",970,1070,1280,1650,2190
