zip,metro,0br,1br,2br,3br,4br
75001,"Dallas, TX HUD Metro FMR Area",1260,1440,1730,2270,2980
75002,"Dallas, TX HUD Metro FMR Area",1210,1380,1660,2180,2860
75006,"Dallas, TX HUD Metro FMR Area",990,1130,1360,1790,2340
75007,"Dallas, TX HUD Metro FMR Area",1050,1200,1440,1890,2480
75009,"Dallas, TX HUD Metro FMR Area",1030,1180,1420,1870,2440
75010,"Dallas, TX HUD Metro FMR Area",1160,1320,1590,2090,2740
75011,"Dallas, TX HUD Metro FMR Area",950,1080,1300,1710,2230
75013,"Dallas, TX HUD Metro FMR Area",1320,1510,1810,2380,3120
75014,"Dallas, TX HUD Metro FMR Area",910,1040,1250,1640,2150
75015,"Dallas, TX HUD Metro FMR Area",910,1040,1250,1640,2150
75016,"Dallas, TX HUD Metro FMR Area",910,1040,1250,1640,2150
75017,"Dallas, TX HUD Metro FMR Area",910,1040,1250,1640,2150
75019,"Dallas, TX HUD Metro FMR Area",1180,1350,1620,2130,2790
75022,"Dallas, TX HUD Metro FMR Area",1430,1640,1970,2590,3390
75023,"Dallas, TX HUD Metro FMR Area",1150,1310,1580,2080,2720
75024,"Dallas, TX HUD Metro FMR Area",1440,1640,1970,2590,3390
75025,"Dallas, TX HUD Metro FMR Area",1260,1440,1730,2270,2980
75026,"Dallas, TX HUD Metro FMR Area",1120,1280,1540,2020,2650
75027,"Dallas, TX HUD Metro FMR Area",1010,1150,1380,1810,2380
75028,"Dallas, TX HUD Metro FMR Area",1440,1640,1970,2590,3390
75029,"Dallas, TX HUD Metro FMR Area",1010,1150,1380,1810,2380
75030,"Dallas, TX HUD Metro FMR Area",910,1040,1250,1640,2150
75032,"Dallas, TX HUD Metro FMR Area",1240,1410,1700,2230,2930
75033,"Dallas, TX HUD Metro FMR Area",1030,1180,1410,1860,2430
75034,"Dallas, TX HUD Metro FMR Area",1270,1450,1740,2290,2990
75035,"Dallas, TX HUD Metro FMR Area",1440,1640,1970,2590,3390
75036,"Dallas, TX HUD Metro FMR Area",1010,1150,1380,1810,2380
75038,"Dallas, TX HUD Metro FMR Area",1020,1160,1400,1840,2410
75039,"Dallas, TX HUD Metro FMR Area",1440,1640,1970,2590,3390
75040,"Dallas, TX HUD Metro FMR Area",930,1060,1270,1670,2190
