zip,metro,0br,1br,2br,3br,4br
75001,"Dallas, TX HUD Metro FMR Area",1740,1830,2160,2720,3550
75002,"Dallas, TX HUD Metro FMR Area",1640,1730,2040,2570,3350
75006,"Dallas, TX HUD Metro FMR Area",1300,1370,1620,2040,2660
75007,"Dallas, TX HUD Metro FMR Area",1340,1410,1660,2090,2730
75009,"Dallas, TX HUD Metro FMR Area",1710,1800,2120,2670,3480
75010,"Dallas, TX HUD Metro FMR Area",1440,1520,1790,2260,2940
75011,"Dallas, TX HUD Metro FMR Area",1240,1310,1540,1950,2540
75013,"Dallas, TX HUD Metro FMR Area",1540,1620,1910,2410,3140
75014,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75015,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75016,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75017,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75019,"Dallas, TX HUD Metro FMR Area",1540,1630,1920,2420,3160
75022,"Dallas, TX HUD Metro FMR Area",1880,1990,2340,2960,3850
75023,"Dallas, TX HUD Metro FMR Area",1490,1570,1850,2330,3040
75024,"Dallas, TX HUD Metro FMR Area",1800,1900,2240,2820,3680
75025,"Dallas, TX HUD Metro FMR Area",1580,1670,1970,2480,3240
75026,"Dallas, TX HUD Metro FMR Area",1480,1560,1840,2320,3020
75027,"Dallas, TX HUD Metro FMR Area",1320,1390,1640,2070,2700
75028,"Dallas, TX HUD Metro FMR Area",1880,1980,2340,2950,3850
75029,"Dallas, TX HUD Metro FMR Area",1320,1390,1640,2070,2700
75030,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75032,"Dallas, TX HUD Metro FMR Area",1470,1550,1830,2310,3010
75033,"Dallas, TX HUD Metro FMR Area",1360,1440,1690,2130,2780
75034,"Dallas, TX HUD Metro FMR Area",1640,1730,2040,2570,3350
75035,"Dallas, TX HUD Metro FMR Area",1890,1990,2350,2960,3860
75036,"Dallas, TX HUD Metro FMR Area",1320,1390,1640,2070,2700
75038,"Dallas, TX HUD Metro FMR Area",1340,1410,1660,2090,2730
75039,"Dallas, TX HUD Metro FMR Area",1860,1960,2310,2910,3800
75040,"Dallas, TX HUD Metro FMR Area",1180,1250,1470,1850,2420
75041,"Dallas, TX HUD Metro FMR Area",1120,1180,1390,1750,2280
75042,"Dallas, TX HUD Metro FMR Area",1020,1080,1270,1600,2090
75043,"Dallas, TX HUD Metro FMR Area",1220,1290,1520,1920,2500
75044,"Dallas, TX HUD Metro FMR Area",1380,1450,1710,2150,2810
75045,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75046,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75047,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75048,"Dallas, TX HUD Metro FMR Area",1570,1650,1950,2460,3200
75049,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75050,"Dallas, TX HUD Metro FMR Area",1190,1270,1500,1910,2460
75051,"Dallas, TX HUD Metro FMR Area",1000,1060,1250,1580,2060
75052,"Dallas, TX HUD Metro FMR Area",1300,1400,1650,2120,2720
75053,"Dallas, TX HUD Metro FMR Area",1170,1250,1480,1900,2430
75054,"Dallas, TX HUD Metro FMR Area",1650,1850,2180,2890,3570
75056,"Dallas, TX HUD Metro FMR Area",1500,1580,1860,2340,3060
75057,"Dallas, TX HUD Metro FMR Area",1320,1390,1640,2070,2700
75058,"Dallas, TX HUD Metro FMR Area",970,1190,1390,1880,2320
75060,"Dallas, TX HUD Metro FMR Area",1050,1110,1310,1650,2150
75061,"Dallas, TX HUD Metro FMR Area",1140,1200,1420,1790,2330
75062,"Dallas, TX HUD Metro FMR Area",1170,1240,1460,1840,2400
75063,"Dallas, TX HUD Metro FMR Area",1600,1690,1990,2510,3270
75065,"Dallas, TX HUD Metro FMR Area",1340,1410,1660,2090,2730
75067,"Dallas, TX HUD Metro FMR Area",1380,1450,1710,2150,2810
75068,"Dallas, TX HUD Metro FMR Area",1830,1930,2280,2870,3750
75069,"Dallas, TX HUD Metro FMR Area",1250,1320,1560,1970,2560
75070,"Dallas, TX HUD Metro FMR Area",1560,1640,1940,2440,3190
75071,"Dallas, TX HUD Metro FMR Area",1720,1810,2140,2700,3520
75072,"Dallas, TX HUD Metro FMR Area",1480,1560,1840,2320,3020
75074,"Dallas, TX HUD Metro FMR Area",1440,1520,1790,2260,2940
75075,"Dallas, TX HUD Metro FMR Area",1400,1470,1740,2190,2860
75077,"Dallas, TX HUD Metro FMR Area",1570,1650,1950,2460,3200
75078,"Dallas, TX HUD Metro FMR Area",1690,1780,2100,2650,3450
75080,"Dallas, TX HUD Metro FMR Area",1300,1370,1620,2040,2660
75081,"Dallas, TX HUD Metro FMR Area",1470,1550,1830,2310,3010
75082,"Dallas, TX HUD Metro FMR Area",1730,1820,2150,2710,3530
75083,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75085,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75086,"Dallas, TX HUD Metro FMR Area",1480,1560,1840,2320,3020
75087,"Dallas, TX HUD Metro FMR Area",1470,1550,1830,2310,3010
75088,"Dallas, TX HUD Metro FMR Area",1720,1810,2140,2700,3520
75089,"Dallas, TX HUD Metro FMR Area",1770,1860,2200,2770,3620
75093,"Dallas, TX HUD Metro FMR Area",1700,1790,2110,2660,3470
75094,"Dallas, TX HUD Metro FMR Area",1890,1990,2350,2960,3860
75097,"Dallas, TX HUD Metro FMR Area",1480,1560,1840,2320,3020
75098,"Dallas, TX HUD Metro FMR Area",1630,1720,2030,2560,3340
75099,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75101,"Dallas, TX HUD Metro FMR Area",1000,1050,1240,1560,2040
75104,"Dallas, TX HUD Metro FMR Area",1500,1580,1870,2360,3070
75106,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75114,"Dallas, TX HUD Metro FMR Area",1220,1290,1520,1920,2500
75115,"Dallas, TX HUD Metro FMR Area",1300,1360,1610,2030,2650
75116,"Dallas, TX HUD Metro FMR Area",1160,1220,1440,1810,2370
75118,"Dallas, TX HUD Metro FMR Area",1130,1190,1400,1760,2300
75119,"Dallas, TX HUD Metro FMR Area",1010,1070,1260,1590,2070
75123,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75125,"Dallas, TX HUD Metro FMR Area",1150,1210,1430,1800,2350
75126,"Dallas, TX HUD Metro FMR Area",1630,1720,2030,2560,3340
75132,"Dallas, TX HUD Metro FMR Area",1590,1680,1980,2500,3250
75134,"Dallas, TX HUD Metro FMR Area",1170,1240,1460,1840,2400
75135,"Dallas, TX HUD Metro FMR Area",1130,1190,1410,1780,2320
75137,"Dallas, TX HUD Metro FMR Area",1400,1470,1740,2190,2860
75138,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75141,"Dallas, TX HUD Metro FMR Area",1140,1200,1420,1790,2330
75142,"Dallas, TX HUD Metro FMR Area",1040,1090,1290,1630,2120
75143,"Dallas, TX HUD Metro FMR Area",930,970,1150,1450,1890
75146,"Dallas, TX HUD Metro FMR Area",1250,1320,1560,1970,2560
75147,"Dallas, TX HUD Metro FMR Area",920,970,1140,1440,1870
75149,"Dallas, TX HUD Metro FMR Area",1140,1200,1420,1790,2330
75150,"Dallas, TX HUD Metro FMR Area",1250,1320,1560,1970,2560
75152,"Dallas, TX HUD Metro FMR Area",1290,1360,1600,2020,2630
75154,"Dallas, TX HUD Metro FMR Area",1330,1400,1650,2080,2710
75156,"Dallas, TX HUD Metro FMR Area",1130,1190,1400,1760,2300
75157,"Dallas, TX HUD Metro FMR Area",900,950,1120,1410,1840
75158,"Dallas, TX HUD Metro FMR Area",1230,1300,1530,1930,2510
75159,"Dallas, TX HUD Metro FMR Area",1130,1190,1410,1780,2320
75160,"Dallas, TX HUD Metro FMR Area",1080,1140,1340,1690,2200
75161,"Dallas, TX HUD Metro FMR Area",1000,1050,1240,1560,2040
75164,"Dallas, TX HUD Metro FMR Area",1170,1240,1460,1840,2400
75165,"Dallas, TX HUD Metro FMR Area",1080,1140,1340,1690,2200
75166,"Dallas, TX HUD Metro FMR Area",1820,1920,2260,2850,3710
75167,"Dallas, TX HUD Metro FMR Area",1560,1640,1940,2440,3190
75168,"Dallas, TX HUD Metro FMR Area",1150,1210,1430,1800,2350
75169,"Dallas, TX HUD Metro FMR Area",840,880,1040,1310,1710
75172,"Dallas, TX HUD Metro FMR Area",970,1030,1210,1520,1990
75173,"Dallas, TX HUD Metro FMR Area",1180,1250,1470,1850,2420
75180,"Dallas, TX HUD Metro FMR Area",1120,1180,1390,1750,2280
75181,"Dallas, TX HUD Metro FMR Area",1870,1970,2330,2940,3830
75182,"Dallas, TX HUD Metro FMR Area",1400,1480,1750,2210,2870
75185,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75187,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75189,"Dallas, TX HUD Metro FMR Area",1640,1730,2040,2570,3350
75201,"Dallas, TX HUD Metro FMR Area",1890,1990,2350,2960,3860
75202,"Dallas, TX HUD Metro FMR Area",1630,1720,2030,2560,3340
75203,"Dallas, TX HUD Metro FMR Area",950,1000,1180,1490,1940
75204,"Dallas, TX HUD Metro FMR Area",1890,1990,2350,2960,3860
75205,"Dallas, TX HUD Metro FMR Area",1770,1860,2200,2770,3620
75206,"Dallas, TX HUD Metro FMR Area",1550,1640,1930,2430,3170
75207,"Dallas, TX HUD Metro FMR Area",1750,1840,2170,2730,3570
75208,"Dallas, TX HUD Metro FMR Area",1250,1310,1550,1950,2550
75209,"Dallas, TX HUD Metro FMR Area",1510,1590,1880,2370,3090
75210,"Dallas, TX HUD Metro FMR Area",840,880,1040,1310,1710
75211,"Dallas, TX HUD Metro FMR Area",1000,1050,1240,1560,2040
75212,"Dallas, TX HUD Metro FMR Area",970,1030,1210,1520,1990
75214,"Dallas, TX HUD Metro FMR Area",1410,1480,1750,2210,2880
75215,"Dallas, TX HUD Metro FMR Area",890,940,1110,1400,1820
75216,"Dallas, TX HUD Metro FMR Area",880,920,1090,1370,1790
75217,"Dallas, TX HUD Metro FMR Area",930,980,1160,1460,1910
75218,"Dallas, TX HUD Metro FMR Area",1330,1400,1650,2080,2710
75219,"Dallas, TX HUD Metro FMR Area",1750,1840,2170,2730,3570
75220,"Dallas, TX HUD Metro FMR Area",1110,1170,1380,1740,2270
75221,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75222,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75223,"Dallas, TX HUD Metro FMR Area",1050,1110,1310,1650,2150
75224,"Dallas, TX HUD Metro FMR Area",930,980,1160,1460,1910
75225,"Dallas, TX HUD Metro FMR Area",1890,1990,2350,2960,3860
75226,"Dallas, TX HUD Metro FMR Area",1350,1420,1680,2120,2760
75227,"Dallas, TX HUD Metro FMR Area",1020,1080,1270,1600,2090
75228,"Dallas, TX HUD Metro FMR Area",1010,1070,1260,1590,2070
75229,"Dallas, TX HUD Metro FMR Area",1170,1230,1450,1830,2380
75230,"Dallas, TX HUD Metro FMR Area",1190,1250,1480,1860,2430
75231,"Dallas, TX HUD Metro FMR Area",1130,1190,1410,1780,2320
75232,"Dallas, TX HUD Metro FMR Area",1070,1130,1330,1680,2190
75233,"Dallas, TX HUD Metro FMR Area",1100,1160,1370,1730,2250
75234,"Dallas, TX HUD Metro FMR Area",1270,1340,1580,1990,2600
75235,"Dallas, TX HUD Metro FMR Area",1370,1440,1700,2140,2790
75236,"Dallas, TX HUD Metro FMR Area",1060,1120,1320,1660,2170
75237,"Dallas, TX HUD Metro FMR Area",1020,1080,1270,1600,2090
75238,"Dallas, TX HUD Metro FMR Area",1140,1200,1420,1790,2330
75240,"Dallas, TX HUD Metro FMR Area",1170,1240,1460,1840,2400
75241,"Dallas, TX HUD Metro FMR Area",1080,1140,1340,1690,2200
75242,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75243,"Dallas, TX HUD Metro FMR Area",1180,1250,1470,1850,2420
75244,"Dallas, TX HUD Metro FMR Area",1560,1640,1940,2440,3190
75246,"Dallas, TX HUD Metro FMR Area",930,980,1160,1460,1910
75247,"Dallas, TX HUD Metro FMR Area",960,1010,1190,1500,1960
75248,"Dallas, TX HUD Metro FMR Area",1460,1530,1810,2280,2970
75249,"Dallas, TX HUD Metro FMR Area",1660,1750,2060,2600,3390
75250,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75251,"Dallas, TX HUD Metro FMR Area",1460,1530,1810,2280,2970
75252,"Dallas, TX HUD Metro FMR Area",1420,1490,1760,2220,2890
75253,"Dallas, TX HUD Metro FMR Area",1160,1220,1440,1810,2370
75254,"Dallas, TX HUD Metro FMR Area",1390,1470,1730,2180,2840
75261,"Dallas, TX HUD Metro FMR Area",1100,1240,1460,1930,2390
75270,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75287,"Dallas, TX HUD Metro FMR Area",1420,1490,1760,2220,2890
75313,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75315,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75336,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75339,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75342,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75354,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75355,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75356,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75357,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75360,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75367,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75370,"Dallas, TX HUD Metro FMR Area",1480,1560,1840,2320,3020
75371,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75372,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75374,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75376,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75378,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75379,"Dallas, TX HUD Metro FMR Area",1480,1560,1840,2320,3020
75380,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75381,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75382,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75390,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75398,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75401,"Dallas, TX HUD Metro FMR Area",930,980,1160,1460,1910
75402,"Dallas, TX HUD Metro FMR Area",1070,1130,1330,1680,2190
75403,"Dallas, TX HUD Metro FMR Area",990,1040,1230,1550,2020
75404,"Dallas, TX HUD Metro FMR Area",990,1040,1230,1550,2020
75407,"Dallas, TX HUD Metro FMR Area",1380,1450,1710,2150,2810
75409,"Dallas, TX HUD Metro FMR Area",1800,1900,2240,2820,3680
75422,"Dallas, TX HUD Metro FMR Area",940,990,1170,1470,1920
75423,"Dallas, TX HUD Metro FMR Area",1010,1070,1260,1590,2070
75424,"Dallas, TX HUD Metro FMR Area",1210,1270,1500,1890,2470
75428,"Dallas, TX HUD Metro FMR Area",930,970,1150,1450,1890
75433,"Dallas, TX HUD Metro FMR Area",990,1040,1230,1550,2020
75442,"Dallas, TX HUD Metro FMR Area",1200,1260,1490,1880,2450
75448,"Dallas, TX HUD Metro FMR Area",990,1040,1230,1550,2020
75449,"Dallas, TX HUD Metro FMR Area",920,970,1140,1440,1870
75452,"Dallas, TX HUD Metro FMR Area",940,990,1170,1470,1920
75453,"Dallas, TX HUD Metro FMR Area",1080,1140,1340,1690,2200
75454,"Dallas, TX HUD Metro FMR Area",1890,1990,2350,2960,3860
75458,"Dallas, TX HUD Metro FMR Area",990,1040,1230,1550,2020
75469,"Dallas, TX HUD Metro FMR Area",990,1040,1230,1550,2020
75474,"Dallas, TX HUD Metro FMR Area",980,1030,1220,1540,2010
75485,"Dallas, TX HUD Metro FMR Area",1480,1560,1840,2320,3020
75491,"Dallas, TX HUD Metro FMR Area",590,720,840,1130,1400
75495,"Dallas, TX HUD Metro FMR Area",890,1080,1260,1700,2110
75496,"Dallas, TX HUD Metro FMR Area",880,930,1100,1390,1810
76041,"Dallas, TX HUD Metro FMR Area",1110,1170,1380,1730,2260
76050,"Dallas, TX HUD Metro FMR Area",950,1070,1260,1670,2070
76051,"Dallas, TX HUD Metro FMR Area",1470,1650,1950,2580,3190
76052,"Dallas, TX HUD Metro FMR Area",1550,1720,2030,2670,3320
76055,"Dallas, TX HUD Metro FMR Area",1150,1210,1430,1800,2350
76063,"Dallas, TX HUD Metro FMR Area",1380,1550,1830,2420,3000
76064,"Dallas, TX HUD Metro FMR Area",1160,1220,1440,1810,2370
76065,"Dallas, TX HUD Metro FMR Area",1290,1360,1600,2020,2630
76078,"Dallas, TX HUD Metro FMR Area",1150,1180,1340,1870,1970
76084,"Dallas, TX HUD Metro FMR Area",980,1100,1290,1700,2120
76092,"Dallas, TX HUD Metro FMR Area",1450,1620,1910,2530,3130
76177,"Dallas, TX HUD Metro FMR Area",1440,1600,1880,2480,3090
76201,"Dallas, TX HUD Metro FMR Area",1130,1190,1410,1780,2320
76202,"Dallas, TX HUD Metro FMR Area",1320,1390,1640,2070,2700
76204,"Dallas, TX HUD Metro FMR Area",1320,1390,1640,2070,2700
76205,"Dallas, TX HUD Metro FMR Area",1170,1240,1460,1840,2400
76206,"Dallas, TX HUD Metro FMR Area",1320,1390,1640,2070,2700
76207,"Dallas, TX HUD Metro FMR Area",1290,1360,1600,2020,2630
76208,"Dallas, TX HUD Metro FMR Area",1340,1410,1660,2090,2730
76209,"Dallas, TX HUD Metro FMR Area",1170,1230,1450,1830,2380
76210,"Dallas, TX HUD Metro FMR Area",1530,1610,1900,2390,3120
76226,"Dallas, TX HUD Metro FMR Area",1890,1990,2350,2960,3860
76227,"Dallas, TX HUD Metro FMR Area",1800,1900,2240,2820,3680
76234,"Dallas, TX HUD Metro FMR Area",980,1000,1130,1610,1640
76247,"Dallas, TX HUD Metro FMR Area",1530,1610,1900,2390,3120
76249,"Dallas, TX HUD Metro FMR Area",1350,1420,1680,2120,2760
76258,"Dallas, TX HUD Metro FMR Area",1140,1210,1420,1800,2340
76259,"Dallas, TX HUD Metro FMR Area",1340,1410,1660,2090,2730
76262,"Dallas, TX HUD Metro FMR Area",1320,1430,1680,2160,2760
76266,"Dallas, TX HUD Metro FMR Area",1280,1350,1590,2000,2610
76272,"Dallas, TX HUD Metro FMR Area",1320,1390,1640,2070,2700
76623,"Dallas, TX HUD Metro FMR Area",960,1010,1200,1510,1970
76626,"Dallas, TX HUD Metro FMR Area",1150,1210,1430,1800,2350
